stock_name,exercise_price,Traded Volume(lacs),balance_units
DEEPAKNTR,2868.7,5.27,527000
IBREALEST,153.3,66.46,6646000
ABB,1839,0.26,26000
KARURVYSYA,48.75,28.79,2879000
SUNDARMFIN,2449.95,0.09,9000
EIHOTEL,142.3,5.62,562000
RBLBANK,193.4,34.94,3494000
RCF,83.4,16.05,1605000
SOLARINDS,2545,0.33,33000
PRAJIND,341.1,2.79,279000
BURGERKING,162.65,6.56,656000
KSB,1297.2,0.08,8000
LAURUSLABS,634.25,6.52,652000
ASHOKA,122.2,28.67,2867000
SYMPHONY,1072.7,0.39,39000
HUDCO,45.25,19.5,1950000
CENTURYPLY,515,0.86,86000
THERMAX,1403.4,2.11,211000
ZENSARTECH,493.05,8.88,888000
NAVINFLUOR,3938.95,0.58,58000
AUBANK,1222.45,4.93,493000
PHOENIXLTD,971.5,0.35,35000
SANOFI,8096.85,0.14,14000
GLAXO,1492.3,0.12,12000
NFL,60,8.95,895000
INFIBEAM,51.1,144.23,14423000
TIINDIA,1388,0.24,24000
SIS,508.55,0.58,58000
NESCO,656.85,0.27,27000
TRITURBINE,171.7,0.96,96000
TVSMOTOR,576.5,11.54,1154000
ENGINERSIN,78.75,16.03,1603000
PGHL,5657.2,0.04,4000
ATUL,10734.3,0.08,8000
M&MFIN,187.3,36.28,3628000
SUNTECK,506.25,2.81,281000
JKTYRE,151.9,4.89,489000
IBULHSGFIN,239.4,31.65,3165000
AMARAJABAT,770.5,3.95,395000
KANSAINER,621.5,0.61,61000
RELAXO,1365,0.95,95000
RAIN,242.85,6.88,688000
COCHINSHIP,375.15,4.96,496000
MHRIL,242,1.06,106000
PNBHOUSING,647.5,0.44,44000
GARFIBRES,3512.95,0.04,4000
JUBLINGREA,795.6,10.6,1060000
BBTC,1151.75,0.28,28000
TORNTPOWER,522.35,10.27,1027000
ABCAPITAL,108.85,13.78,1378000
GRAPHITE,603.25,2.35,235000
GPPL,112.6,5.49,549000
SYNGENE,616.6,1.64,164000
CROMPTON,482.75,4.44,444000
SONATSOFTW,915,0.34,34000
LINDEINDIA,2632,0.31,31000
KPRMILL,462.45,1.45,145000
ATGL,1409.75,0.45,45000
INGERRAND,1171.85,0.17,17000
COFORGE,5290.8,0.92,92000
BLUESTARCO,906.95,0.32,32000
HINDZINC,319.4,2.74,274000
VGUARD,266.2,3.7,370000
IRB,209.7,14.41,1441000
LEMONTREE,55.15,60.41,6041000
ABBOTINDIA,21745.95,0.06,6000
RVNL,30.2,41,4100000
NATCOPHARM,894.9,0.57,57000
ORIENTELEC,336.9,1.02,102000
GALAXYSURF,3405,0.08,8000
BIRLACORPN,1402.15,0.6,60000
RHIM,358.9,0.28,28000
BALAMINES,4494.1,0.22,22000
BAYERCROP,5195.1,0.04,4000
BASF,3437,0.15,15000
UBL,1720,2.78,278000
DHANUKA,830.4,0.31,31000
AMBER,3656.3,0.3,30000
FINCABLES,498.15,0.37,37000
JBCHEPHARM,1786.55,0.25,25000
MRF,85684.05,0.06,6000
UFLEX,636.95,1.96,196000
INOXLEISUR,415,3.21,321000
JUBLPHARMA,630.55,0.51,51000
POLYPLEX,1837.1,0.28,28000
SJVN,28.25,15.26,1526000
UCOBANK,14.3,39.78,3978000
IDFCFIRSTB,49.1,120.49,12049000
DCBBANK,92.4,11.92,1192000
AARTIDRUGS,624.7,0.66,66000
PFIZER,5525.8,0.06,6000
GILLETTE,5818,0.02,2000
BEML,1538.2,1.02,102000
CENTURYTEX,933,1.39,139000
ALEMBICLTD,114.8,0.89,89000
JCHAC,2255,0.07,7000
CANBK,186.95,193.79,19379000
SUNDRMFAST,939.2,0.41,41000
GODREJPROP,2434,4.85,485000
CUMMINSIND,898.7,2.29,229000
EXIDEIND,187.65,22.45,2245000
IOLCP,589.5,1.09,109000
ROSSARI,1557.3,0.47,47000
NCC,82.25,23.85,2385000
QUESS,905,0.27,27000
HGS,2870,0.03,3000
ALKEM,3933.75,0.74,74000
HEIDELBERG,254.35,0.62,62000
AEGISCHEM,233.35,4.81,481000
GODREJIND,577.05,0.69,69000
MPHASIS,3117.25,2.58,258000
ZYDUSWELL,2316,0.1,10000
